Age,Attrition,BusinessTravel,DailyRate($),Department,DistanceFromHome,Education,EducationField,EmployeeNumber#,EnvironmentSatisfaction,Gender,JobLevel,Job+Role,JobSatisfaction,MaritalStatus,MonthlyIncome($),NumCompaniesWorked#,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,No,Non-Travel,1434,Sales,8,4,Life Sciences,570,1,Male,3,Sales Executive,1,Single,7587,1,No,15,3,0,10,1,3,10,7,,9
52,No,Non-Travel,715,Research & Development,19,4,Medical,571,4,Male,1,Research Scientist,4,Married,4258,0,No,18,3,1,5,3,3,4,3,1,2
26,No,Travel_Frequently,575,Research & Development,1,2,Life Sciences,572,1,Female,1,Laboratory Technician,4,Divorced,4364,3,No,14,3,1,5,2,3,2,2,2,0
29,No,Travel_Rarely,657,Research & Development,27,3,Medical,573,2,Female,2,Healthcare Representative,3,Married,4335,4,No,12,3,1,11,3,2,8,7,1,1
26,Yes,Travel_Rarely,1146,Sales,8,3,Technical Degree,574,4,Male,2,Sales Executive,1,Single,5326,6,No,17,3,0,6,2,2,4,3,1,2
34,No,Travel_Rarely,182,Research & Development,1,4,Life Sciences,575,2,Female,1,Research Scientist,4,Single,3280,2,No,16,3,0,10,2,3,4,2,1,3
54,No,Travel_Rarely,376,Research & Development,19,4,Medical,576,4,Female,2,Manufacturing Director,1,Divorced,5485,9,Yes,11,3,2,9,4,3,5,3,1,4
27,No,Travel_Frequently,829,Sales,8,1,Marketing,577,3,Male,2,Sales Executive,4,Married,4342,0,No,19,3,1,5,3,3,4,2,1,1
37,No,Travel_Rarely,571,Research & Development,10,1,Life Sciences,578,4,Female,1,Research Scientist,1,Divorced,2782,0,Yes,13,3,2,6,3,2,5,3,4,3
38,No,Travel_Frequently,240,Research & Development,2,4,Life Sciences,579,1,Female,2,Manufacturing Director,1,Single,5980,6,Yes,12,3,0,17,2,3,15,7,4,12
34,No,Travel_Rarely,121,Research & Development,2,4,Medical,580,3,Female,1,Research Scientist,1,Single,4381,1,No,11,3,0,6,3,3,6,5,1,3
35,No,Travel_Rarely,384,Sales,8,4,Life Sciences,581,1,Female,1,Sales Representative,4,Married,2572,1,No,16,3,1,3,1,2,3,2,0,2
30,No,Travel_Rarely,921,Research & Development,1,3,Life Sciences,582,4,Male,1,Laboratory Technician,3,Married,3833,3,No,21,4,2,7,2,3,2,2,0,2
40,No,Travel_Frequently,791,Research & Development,2,2,Medical,583,3,Female,2,Healthcare Representative,2,Married,4244,1,No,24,4,1,8,2,3,8,7,3,7
34,No,Travel_Rarely,1111,Sales,8,2,Life Sciences,584,3,Female,2,Sales Executive,1,Married,6500,5,No,17,3,1,6,1,3,3,2,1,2
42,No,Travel_Frequently,570,Research & Development,8,3,Life Sciences,585,2,Male,5,Manager,4,Divorced,18430,1,No,13,3,1,24,4,2,24,7,14,9
23,Yes,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,586,3,Male,1,Laboratory Technician,1,Married,1601,1,Yes,21,4,2,1,2,3,0,0,0,0
24,No,Non-Travel,1092,Research & Development,9,3,Life Sciences,587,3,Male,1,Laboratory Technician,2,Divorced,2694,1,No,11,3,3,1,4,3,1,0,0,0
52,No,Travel_Rarely,1325,Research & Development,11,4,Life Sciences,588,4,Female,2,Laboratory Technician,3,Married,3149,8,No,20,4,1,9,3,3,5,2,1,4
50,No,Travel_Rarely,691,Research & Development,2,3,Medical,589,3,Male,4,Research Director,3,Married,17639,5,No,16,3,0,30,3,3,4,3,0,3
29,Yes,Travel_Rarely,805,Research & Development,1,2,Life Sciences,590,2,Female,1,Laboratory Technician,1,Married,2319,1,Yes,11,3,1,1,1,3,1,0,0,0
33,No,Travel_Rarely,213,Research & Development,7,3,Medical,591,3,Male,3,Research Director,3,Married,11691,0,No,11,3,0,14,3,4,13,9,3,7
33,Yes,Travel_Rarely,118,Sales,16,3,Marketing,592,1,Female,2,Sales Executive,1,Single,5324,5,No,15,3,0,6,3,3,3,2,0,2
47,No,Travel_Rarely,202,Research & Development,2,2,Other,593,3,Female,4,Manager,4,Married,16752,1,Yes,11,3,1,26,3,2,26,14,3,0
36,No,Travel_Rarely,676,Research & Development,1,3,Other,594,3,Female,2,Manufacturing Director,2,Married,5228,0,No,15,3,1,10,2,3,9,7,0,5
29,No,Travel_Rarely,1252,Research & Development,23,2,Life Sciences,595,3,Male,1,Research Scientist,3,Married,2700,1,No,24,4,1,10,3,3,10,7,0,7
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,596,4,Male,5,Research Director,2,Single,19246,7,Yes,12,3,0,40,2,3,31,15,13,8
35,No,Travel_Rarely,1258,Research & Development,1,4,Life Sciences,597,4,Female,1,Research Scientist,3,Single,2506,3,No,13,3,0,7,0,3,2,2,2,2
42,No,Travel_Rarely,932,Research & Development,1,2,Life Sciences,598,4,Female,2,Manufacturing Director,4,Married,6062,9,Yes,13,3,1,8,4,3,4,3,0,2
28,Yes,Travel_Rarely,890,Research & Development,2,4,Medical,599,3,Male,1,Research Scientist,3,Single,4382,6,No,17,3,0,5,3,2,2,2,2,1
36,No,Travel_Rarely,1041,Human Resources,13,3,Human Resources,600,3,Male,1,Human Resources,2,Married,2143,4,No,13,3,1,8,2,3,5,2,0,4
32,No,Travel_Rarely,859,Research & Development,4,3,Life Sciences,601,3,Female,2,Manufacturing Director,3,Married,6162,1,No,12,3,1,14,3,3,14,13,6,8
40,No,Travel_Frequently,720,Research & Development,16,4,Medical,602,1,Male,2,Laboratory Technician,3,Single,5094,6,No,14,3,0,10,6,3,1,0,0,0
30,No,Travel_Rarely,946,Research & Development,2,3,Medical,603,3,Female,2,Manufacturing Director,4,Single,6877,5,Yes,24,4,0,12,4,2,0,0,0,0
45,No,Travel_Rarely,252,Research & Development,2,3,Life Sciences,604,2,Female,1,Research Scientist,3,Single,2274,1,No,14,3,0,1,3,3,1,0,0,0
42,No,Travel_Rarely,933,Research & Development,29,3,Life Sciences,605,2,Male,2,Manufacturing Director,2,Married,4434,1,No,13,3,1,10,3,2,9,8,7,8
38,No,Travel_Frequently,471,Research & Development,12,3,Life Sciences,606,1,Male,2,Healthcare Representative,1,Divorced,6288,2,No,15,3,1,13,3,2,4,3,1,2
34,No,Travel_Frequently,702,Research & Development,16,4,Life Sciences,607,3,Female,1,Research Scientist,4,Single,2553,1,No,16,3,0,6,3,3,5,2,1,3
49,Yes,Travel_Rarely,1184,Sales,11,3,Marketing,608,3,Female,3,Sales Executive,4,Married,7654,1,No,18,3,2,9,3,4,9,8,7,7
55,Yes,Travel_Rarely,436,Sales,2,1,Medical,609,3,Male,2,Sales Executive,4,Single,5160,4,No,16,3,0,12,3,2,9,7,7,3
43,No,Travel_Rarely,589,Research & Development,14,2,Life Sciences,610,2,Male,4,Research Director,1,Married,17159,6,No,24,4,1,22,3,3,4,1,1,0
27,No,Travel_Rarely,269,Research & Development,5,1,Technical Degree,611,3,Male,3,Research Director,4,Divorced,12808,1,Yes,16,3,1,9,3,3,9,8,0,8
35,No,Travel_Rarely,950,Research & Development,7,3,Other,612,3,Male,3,Manufacturing Director,3,Single,10221,3,No,21,4,0,17,3,4,8,5,1,6
28,No,Travel_Rarely,760,Sales,2,4,Marketing,613,2,Female,2,Sales Executive,2,Married,4779,1,Yes,20,4,0,8,2,3,8,7,7,5
34,No,Travel_Rarely,829,Human Resources,3,2,Human Resources,614,3,Male,1,Human Resources,4,Married,3737,0,No,19,3,1,4,1,1,3,2,0,2
26,Yes,Travel_Frequently,887,Research & Development,5,2,Medical,615,3,Female,1,Research Scientist,3,Married,2366,1,Yes,14,3,1,8,2,3,8,7,1,7
27,No,Non-Travel,443,Research & Development,3,3,Medical,616,4,Male,1,Research Scientist,4,Married,1706,1,No,11,3,3,0,6,2,0,0,0,0
51,No,Travel_Rarely,1318,Sales,26,4,Marketing,617,1,Female,4,Manager,3,Married,16307,2,No,14,3,1,29,2,2,20,6,4,17
44,No,Travel_Rarely,625,Research & Development,4,3,Medical,618,4,Male,2,Healthcare Representative,2,Single,5933,9,No,12,3,0,10,2,2,5,2,2,3
25,No,Travel_Rarely,180,Research & Development,2,1,Medical,619,1,Male,1,Research Scientist,1,Single,3424,7,No,13,3,0,6,3,2,4,3,0,1
33,No,Travel_Rarely,586,Sales,1,3,Medical,620,1,Male,2,Sales Executive,1,Divorced,4037,1,No,22,4,1,9,5,3,9,8,0,8
35,No,Travel_Rarely,1343,Research & Development,27,1,Medical,621,3,Female,1,Research Scientist,1,Single,2559,1,No,11,3,0,6,3,2,6,5,1,1
36,No,Travel_Rarely,928,Sales,1,2,Life Sciences,622,2,Male,2,Sales Executive,4,Married,6201,1,Yes,14,3,1,18,1,2,18,14,4,11
32,No,Travel_Rarely,117,Sales,13,4,Life Sciences,623,2,Male,2,Sales Executive,4,Divorced,4403,2,No,11,3,1,8,3,2,5,2,0,3
30,No,Travel_Frequently,1012,Research & Development,5,4,Life Sciences,624,2,Male,1,Research Scientist,4,Divorced,3761,9,No,12,3,1,10,3,2,5,4,0,3
53,No,Travel_Rarely,661,Sales,7,2,Marketing,625,1,Female,3,Sales Executive,4,Married,10934,7,Yes,18,3,1,35,3,3,5,2,0,4
45,No,Travel_Rarely,930,Sales,9,3,Marketing,626,4,Male,3,Sales Executive,1,Divorced,10761,4,Yes,12,3,1,18,2,3,5,4,0,2
32,No,Travel_Rarely,638,Research & Development,8,2,Medical,627,3,Female,2,Research Scientist,3,Married,5175,5,No,12,3,1,9,3,2,5,3,1,3
52,No,Travel_Frequently,890,Research & Development,25,4,Medical,628,3,Female,4,Manufacturing Director,4,Married,13826,3,No,22,4,0,31,3,3,9,8,0,0
37,No,Travel_Rarely,342,Sales,16,4,Marketing,629,4,Male,2,Sales Executive,3,Divorced,6334,4,No,19,3,2,9,2,3,1,0,0,0
28,No,Travel_Rarely,1169,Human Resources,8,2,Medical,630,2,Male,1,Human Resources,4,Divorced,4936,1,No,13,3,1,6,6,3,5,1,0,4
22,No,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,631,4,Male,2,Manufacturing Director,4,Married,4775,6,No,22,4,2,4,2,1,2,2,2,2
44,No,Travel_Rarely,986,Research & Development,8,4,Life Sciences,632,1,Male,1,Laboratory Technician,4,Married,2818,2,Yes,24,4,1,10,2,2,3,2,0,2
42,No,Travel_Frequently,1271,Research & Development,2,1,Medical,633,2,Male,1,Research Scientist,4,Single,2515,5,Yes,14,3,0,8,2,3,2,1,2,2
36,No,Travel_Rarely,1278,Human Resources,8,3,Life Sciences,634,1,Male,1,Human Resources,1,Married,2342,0,No,21,4,0,6,3,3,5,4,0,3
25,No,Travel_Rarely,141,Sales,3,1,Other,635,3,Male,2,Sales Executive,1,Married,4194,1,Yes,18,3,0,5,3,3,5,3,0,3
35,No,Travel_Rarely,607,Research & Development,9,3,Life Sciences,636,4,Female,3,Manufacturing Director,3,Married,10685,1,Yes,20,4,1,17,2,3,17,14,5,15
35,Yes,Travel_Frequently,130,Research & Development,25,4,Life Sciences,637,4,Female,1,Research Scientist,2,Divorced,2022,1,Yes,19,3,1,10,3,2,10,2,7,8
32,No,Non-Travel,300,Research & Development,1,3,Life Sciences,638,4,Male,1,Laboratory Technician,4,Divorced,2314,0,No,12,3,1,4,2,3,3,0,0,2
25,No,Travel_Rarely,583,Sales,4,1,Marketing,639,3,Male,2,Sales Executive,1,Married,4256,1,No,12,3,0,5,1,4,5,2,0,3
49,No,Travel_Rarely,1418,Research & Development,1,3,Technical Degree,640,3,Female,1,Research Scientist,1,Married,3580,2,No,16,3,1,7,2,3,4,2,0,2
24,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,641,1,Male,1,Laboratory Technician,4,Married,3162,0,No,17,3,0,6,2,2,5,2,3,4
32,No,Travel_Frequently,379,Sales,5,2,Life Sciences,642,2,Male,2,Sales Executive,2,Married,6524,1,No,14,3,1,10,3,3,10,8,5,3
38,No,Travel_Rarely,395,Sales,9,3,Marketing,643,2,Male,1,Sales Representative,2,Married,2899,,No,19,3,1,3,3,3,2,2,1,2
42,No,Travel_Rarely,1265,Research & Development,3,3,Life Sciences,644,3,Female,2,Laboratory Technician,4,Married,5231,2,Yes,13,3,1,17,1,2,5,3,1,3
31,No,Travel_Rarely,1222,Research & Development,11,4,Life Sciences,645,4,Male,1,Research Scientist,4,Married,2356,3,Yes,19,3,1,8,2,3,6,4,0,2
29,Yes,Travel_Rarely,341,Sales,1,3,Medical,646,2,Female,1,Sales Representative,3,Divorced,2800,6,Yes,19,3,3,5,3,3,3,2,0,2
53,No,Travel_Rarely,868,Sales,8,3,Marketing,647,1,Male,4,Sales Executive,4,Married,11836,5,No,14,3,1,28,3,3,2,0,2,2
35,No,Travel_Rarely,672,Research & Development,25,3,Technical Degree,648,4,Male,3,Manufacturing Director,2,Married,10903,3,No,16,3,0,16,2,3,13,10,4,8
37,No,Travel_Frequently,1231,Sales,21,2,Medical,649,3,Female,1,Sales Representative,4,Married,2973,5,No,15,3,1,10,3,3,5,4,0,0
53,No,Travel_Rarely,102,Research & Development,23,4,Life Sciences,650,4,Female,4,Research Director,4,Single,14275,6,No,18,3,0,33,0,3,12,9,3,8
43,No,Travel_Frequently,422,Research & Development,1,3,Life Sciences,651,4,Female,2,Healthcare Representative,4,Married,5562,4,No,13,3,1,12,2,2,5,2,2,2
47,No,Travel_Rarely,249,Sales,2,2,Marketing,652,3,Female,2,Sales Executive,4,Married,4537,0,Yes,22,4,1,8,2,3,7,6,7,7
37,No,Non-Travel,1252,Sales,19,2,Medical,653,1,Male,3,Sales Executive,2,Single,7642,1,Yes,13,3,0,10,2,3,10,0,0,9
50,No,Non-Travel,881,Research & Development,2,4,Life Sciences,654,1,Male,4,Manager,1,Divorced,17924,1,No,11,3,1,31,3,3,31,6,14,7
39,No,Travel_Rarely,1383,Human Resources,2,3,Life Sciences,655,4,Female,2,Human Resources,4,Married,5204,8,No,11,3,2,13,2,3,5,4,0,4
33,No,Travel_Rarely,1075,Human Resources,3,2,Human Resources,656,4,Male,1,Human Resources,2,Divorced,2277,3,Yes,11,3,1,7,4,4,4,3,0,3
32,Yes,Travel_Rarely,374,Research & Development,25,4,Life Sciences,657,1,Male,1,Laboratory Technician,4,Single,2795,1,Yes,24,4,0,1,2,1,1,0,0,1
29,No,Travel_Rarely,1086,Research & Development,7,1,Medical,658,1,Female,1,Laboratory Technician,4,Divorced,2532,6,No,14,3,3,8,5,3,4,3,0,3
44,No,Travel_Rarely,661,Research & Development,9,2,Life Sciences,659,2,Male,1,Research Scientist,1,Married,2559,1,Yes,13,3,0,8,0,3,8,7,7,1
28,No,Travel_Rarely,821,Sales,5,4,Medical,660,1,Male,2,Sales Executive,4,Single,4908,1,No,14,3,0,4,3,3,4,2,0,2
58,Yes,Travel_Frequently,781,Research & Development,2,1,Life Sciences,661,4,Male,1,Laboratory Technician,4,Divorced,2380,9,Yes,14,3,1,3,3,2,1,0,0,0
43,No,Travel_Rarely,177,Research & Development,8,3,Life Sciences,662,1,Female,2,Manufacturing Director,2,Divorced,4765,4,No,21,4,1,4,2,4,1,0,0,0
20,Yes,Travel_Rarely,500,Sales,2,3,Medical,663,3,Female,1,Sales Representative,3,Single,2044,1,No,13,3,0,2,3,2,2,2,0,2
21,Yes,Travel_Rarely,1427,Research & Development,18,1,Other,664,4,Female,1,Research Scientist,4,Single,2693,1,No,19,3,0,1,3,2,1,0,0,0
36,No,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,665,3,Male,2,Healthcare Representative,4,Married,6586,0,Yes,17,3,1,17,2,2,16,8,4,11
47,No,Travel_Rarely,1454,Sales,2,4,Life Sciences,666,4,Female,1,Sales Representative,4,Single,3294,1,Yes,18,3,0,3,3,2,3,2,1,2
22,Yes,Travel_Rarely,617,Research & Development,3,1,Life Sciences,667,2,Female,2,Manufacturing Director,3,Married,4171,0,Yes,19,3,1,4,3,4,3,2,0,2
41,Yes,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,668,2,Female,1,Laboratory Technician,4,Divorced,2778,4,Yes,13,3,1,10,1,2,7,7,1,0
28,No,Travel_Rarely,995,Research & Development,9,3,Medical,669,3,Female,1,Research Scientist,3,Divorced,2377,5,No,18,3,1,6,2,3,2,2,2,2
39,Yes,Travel_Rarely,1122,Research & Development,6,3,Medical,670,4,Male,1,Laboratory Technician,1,Married,2404,7,Yes,21,4,0,8,2,1,2,2,2,2
27,No,Travel_Rarely,618,Research & Development,4,3,Life Sciences,671,2,Female,1,Research Scientist,3,Single,2318,1,No,19,3,0,1,2,3,1,1,0,0
34,No,Travel_Rarely,546,Research & Development,10,3,Life Sciences,672,2,Male,1,Laboratory Technician,2,Divorced,2008,1,No,14,3,2,1,3,3,1,0,1,0
42,No,Travel_Rarely,462,Sales,14,2,Medical,673,3,Female,2,Sales Executive,3,Single,6244,7,No,17,3,0,10,6,3,5,4,0,3
33,No,Travel_Rarely,1198,Research & Development,1,4,Other,674,3,Male,1,Research Scientist,1,Single,2799,3,Yes,11,3,0,6,1,3,3,2,0,2
58,No,Travel_Rarely,1272,Research & Development,5,3,Technical Degree,675,3,Female,3,Healthcare Representative,2,Divorced,10552,2,Yes,13,3,1,24,3,3,6,0,0,4
31,No,Travel_Rarely,154,Sales,7,4,Life Sciences,676,2,Male,1,Sales Representative,3,Married,2329,3,No,15,3,0,13,2,4,7,7,5,2
35,No,Travel_Rarely,1137,Research & Development,21,1,Life Sciences,677,4,Female,2,Healthcare Representative,4,Married,4014,1,Yes,25,4,1,10,2,1,10,6,0,7
49,No,Travel_Rarely,527,Research & Development,8,2,Other,678,1,Female,3,Laboratory Technician,2,Married,7403,4,No,11,3,1,29,3,2,26,9,1,7
48,No,Travel_Rarely,1469,Research & Development,20,4,Medical,679,4,Male,1,Research Scientist,3,Married,2259,4,No,17,3,2,13,2,2,0,0,0,0
31,No,Non-Travel,1188,Sales,20,2,Marketing,680,4,Female,2,Sales Executive,3,Married,6932,1,No,13,3,1,9,2,2,9,8,0,0
36,No,Travel_Rarely,188,Research & Development,7,4,Other,681,2,Male,1,Research Scientist,4,Single,4678,2,No,18,3,0,8,6,3,6,2,0,1
38,No,Travel_Rarely,1333,Research & Development,1,3,Technical Degree,682,4,Female,3,Research Director,1,Married,13582,1,No,13,3,1,15,3,3,15,12,5,11
32,No,Non-Travel,1184,Research & Development,1,3,Life Sciences,683,3,Female,1,Laboratory Technician,2,Married,2332,6,No,20,4,0,5,3,3,3,0,0,2
25,Yes,Travel_Rarely,867,Sales,19,2,Marketing,684,3,Male,1,Sales Representative,2,Married,2413,1,Yes,18,3,3,1,2,3,1,0,0,0
40,No,Travel_Rarely,658,Sales,10,4,Marketing,685,1,Male,3,Sales Executive,2,Divorced,9705,2,No,12,3,1,11,2,2,1,0,0,0
26,No,Travel_Frequently,1283,Sales,1,3,Medical,686,3,Male,2,Sales Executive,1,Single,4294,1,No,12,3,0,7,2,3,7,7,0,7
41,No,Travel_Rarely,263,Research & Development,6,3,Medical,687,4,Male,1,Laboratory Technician,1,Single,4721,2,Yes,13,3,0,20,3,3,18,13,2,17
36,No,Travel_Rarely,938,Research & Development,2,4,Medical,688,3,Male,1,Laboratory Technician,3,Single,2519,4,No,21,4,0,16,6,3,11,8,3,9
19,Yes,Travel_Rarely,419,Sales,21,3,Other,689,4,Male,1,Sales Representative,2,Single,2121,1,Yes,13,3,0,1,3,4,1,0,0,0
20,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,690,1,Male,1,Laboratory Technician,1,Single,2973,1,No,19,3,0,1,2,3,1,0,0,0
31,No,Travel_Rarely,616,Research & Development,12,3,Medical,691,4,Female,2,Healthcare Representative,4,Married,5855,0,Yes,11,3,2,10,2,1,9,7,8,5
40,No,Travel_Frequently,1469,Research & Development,9,4,Medical,692,4,Male,1,Research Scientist,2,Divorced,3617,8,Yes,14,3,1,3,2,3,1,1,0,0
32,No,Travel_Rarely,498,Research & Development,3,4,Medical,693,3,Female,2,Manufacturing Director,1,Married,6725,1,No,12,3,1,8,2,4,8,7,6,3
36,Yes,Travel_Rarely,530,Sales,3,1,Life Sciences,694,3,Male,3,Sales Executive,4,Married,10325,1,Yes,11,3,1,16,6,3,16,7,3,7
33,No,Travel_Rarely,1069,Research & Development,1,3,Life Sciences,695,2,Female,2,Healthcare Representative,4,Single,6949,0,No,14,3,0,6,3,3,5,0,1,4
37,Yes,Travel_Rarely,625,Sales,1,4,Life Sciences,696,1,Male,3,Sales Executive,3,Married,10609,5,No,11,3,0,17,2,1,14,1,11,7
45,No,Non-Travel,805,Research & Development,4,2,Life Sciences,697,3,Male,2,Laboratory Technician,2,Married,4447,1,No,12,3,0,9,5,2,9,7,0,8
29,No,Travel_Frequently,1404,Sales,20,3,Technical Degree,698,3,Female,1,Sales Representative,4,Married,2157,1,No,15,3,1,3,5,3,3,1,0,2
35,No,Travel_Rarely,1219,Sales,18,3,Medical,699,3,Female,2,Sales Executive,3,Married,4601,1,No,16,3,0,5,3,3,5,2,1,0
52,No,Travel_Rarely,1053,Research & Development,1,2,Life Sciences,700,4,Male,4,Manager,4,Married,17099,2,No,15,3,1,26,2,2,9,8,7,8
58,Yes,Travel_Rarely,289,Research & Development,2,3,Technical Degree,701,4,Male,1,Research Scientist,3,Single,2479,4,No,24,4,0,7,4,3,1,0,0,0
53,No,Travel_Rarely,1376,Sales,2,2,Medical,702,3,Male,4,Manager,3,Divorced,14852,6,No,13,3,1,22,3,4,17,13,15,2
30,No,Travel_Rarely,231,Sales,8,2,Other,703,3,Male,3,Sales Executive,3,Divorced,7264,5,No,11,3,1,10,2,4,8,4,7,7
38,No,Non-Travel,152,Sales,10,3,Technical Degree,704,3,Female,2,Sales Executive,4,Single,5666,1,Yes,13,3,0,6,1,3,5,3,1,3
35,No,Travel_Rarely,882,Sales,3,4,Life Sciences,705,4,Male,3,Sales Executive,4,Divorced,7823,6,No,13,3,1,12,2,3,10,9,0,8
39,No,Travel_Rarely,903,Sales,2,5,Life Sciences,706,1,Male,3,Sales Executive,3,Single,7880,0,No,18,3,0,9,3,3,8,7,0,7
40,Yes,Non-Travel,1479,Sales,24,3,Life Sciences,707,2,Female,4,Sales Executive,2,Single,13194,4,Yes,16,3,0,22,2,2,1,0,0,0
47,No,Travel_Frequently,1379,Research & Development,16,4,Medical,708,3,Male,2,Manufacturing Director,3,Divorced,5067,1,Yes,19,3,0,20,3,4,19,10,2,7
36,No,Non-Travel,1229,Sales,8,4,Technical Degree,709,1,Male,2,Sales Executive,4,Divorced,5079,4,No,13,3,2,12,3,3,7,7,0,7
31,Yes,Non-Travel,335,Research & Development,9,2,Medical,710,3,Male,1,Research Scientist,1,Single,2321,0,Yes,22,4,0,4,0,3,3,2,1,2
33,No,Non-Travel,722,Sales,17,3,Life Sciences,711,4,Male,4,Manager,3,Single,17444,1,No,11,3,0,10,2,3,10,8,6,0
29,Yes,Travel_Rarely,906,Research & Development,10,3,Life Sciences,712,4,Female,1,Research Scientist,1,Single,2404,6,Yes,20,4,0,3,5,3,0,0,0,0
33,No,Travel_Rarely,461,Research & Development,13,1,Life Sciences,713,2,Female,1,Research Scientist,4,Single,3452,3,No,18,3,0,5,4,3,3,2,0,2
45,No,Travel_Rarely,974,Research & Development,1,4,Medical,714,4,Female,1,Laboratory Technician,4,Divorced,2270,3,No,14,3,2,8,2,3,5,3,0,2
50,No,Travel_Rarely,1126,Research & Development,1,2,Medical,715,4,Male,4,Research Director,4,Divorced,17399,9,No,22,4,1,32,1,2,5,4,1,3
33,No,Travel_Frequently,827,Research & Development,1,4,Other,716,3,Female,2,Healthcare Representative,2,Married,5488,1,Yes,13,3,1,6,2,3,6,5,1,2
41,No,Travel_Frequently,840,Research & Development,9,3,Medical,717,1,Male,5,Research Director,3,Divorced,19419,2,No,17,3,1,21,2,4,18,16,0,11
27,No,Travel_Rarely,1134,Research & Development,16,4,Technical Degree,718,3,Female,1,Laboratory Technician,2,Married,2811,9,No,14,3,1,4,2,3,2,2,2,2
45,No,Non-Travel,248,Research & Development,23,2,Life Sciences,719,4,Male,2,Laboratory Technician,1,Married,3633,1,Yes,15,3,1,9,2,3,9,8,0,8
47,No,Travel_Rarely,955,Sales,4,2,Life Sciences,720,4,Female,2,Sales Executive,4,Single,4163,1,Yes,17,3,0,9,0,3,9,0,0,7
30,Yes,Travel_Rarely,138,Research & Development,22,3,Life Sciences,721,1,Female,1,Research Scientist,3,Married,2132,4,Yes,11,3,0,7,2,3,5,2,0,1
50,No,Travel_Rarely,939,Research & Development,24,3,Life Sciences,722,4,Male,4,Manufacturing Director,3,Married,13973,3,Yes,18,3,1,22,2,3,12,11,1,5
38,No,Travel_Frequently,1391,Research & Development,10,1,Medical,723,3,Male,1,Research Scientist,3,Married,2684,0,No,17,3,1,3,0,2,2,1,0,2
46,No,Travel_Rarely,566,Research & Development,7,2,Medical,724,4,Male,3,Manufacturing Director,3,Divorced,10845,6,No,13,3,1,13,3,3,8,7,0,7
24,No,Travel_Rarely,1206,Research & Development,17,1,Medical,725,4,Female,2,Manufacturing Director,3,Divorced,4377,1,No,15,3,2,5,6,3,4,2,3,2
35,Yes,Travel_Rarely,622,Research & Development,14,4,Other,726,3,Male,1,Laboratory Technician,2,Divorced,3743,1,Yes,24,4,1,5,2,1,4,2,0,2
31,No,Travel_Frequently,853,Research & Development,1,1,Life Sciences,727,3,Female,2,Manufacturing Director,1,Married,4148,1,No,12,3,1,4,1,3,4,3,0,3
18,No,Non-Travel,287,Research & Development,5,2,Life Sciences,728,2,Male,1,Research Scientist,4,Single,1051,1,No,15,3,0,0,2,3,0,0,0,0
54,No,Travel_Rarely,1441,Research & Development,17,3,Technical Degree,729,3,Female,3,Manufacturing Director,3,Married,10739,8,No,11,3,1,22,2,3,10,7,0,8
35,No,Travel_Rarely,583,Research & Development,25,4,Medical,730,3,Female,3,Healthcare Representative,3,Divorced,10388,1,Yes,11,3,1,16,3,2,16,10,10,1
30,No,Travel_Rarely,153,Research & Development,8,2,Life Sciences,731,2,Female,3,Research Director,1,Married,11416,0,Yes,12,3,3,9,4,2,8,7,1,7
20,Yes,Travel_Rarely,1097,Research & Development,11,3,Medical,732,4,Female,1,Research Scientist,1,Single,2600,1,Yes,15,3,0,1,2,3,1,0,0,0
30,Yes,Travel_Frequently,109,Research & Development,5,3,Medical,733,2,Female,1,Laboratory Technician,2,Single,2422,0,No,17,3,0,4,3,3,3,2,1,2
26,No,Travel_Rarely,1066,Research & Development,2,2,Medical,734,4,Male,2,Manufacturing Director,4,Married,5472,1,No,12,3,0,8,2,3,8,7,1,3
22,No,Travel_Rarely,217,Research & Development,8,1,Life Sciences,735,2,Male,1,Laboratory Technician,1,Married,2451,1,No,15,3,1,4,3,2,4,3,1,1
48,No,Travel_Rarely,277,Research & Development,6,3,Life Sciences,736,1,Male,2,Healthcare Representative,3,Single,4240,2,No,13,3,0,19,0,3,2,2,2,2
48,No,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,737,3,Male,3,Healthcare Representative,3,Single,10999,7,No,14,3,0,27,3,3,15,11,4,8
41,No,Travel_Rarely,549,Research & Development,7,2,Medical,738,4,Female,2,Manufacturing Director,3,Single,5003,6,No,14,3,0,8,6,3,2,2,2,1
39,No,Travel_Rarely,466,Research & Development,1,1,Life Sciences,739,4,Female,4,Manufacturing Director,4,Married,12742,1,No,16,3,1,21,3,3,21,6,11,8
27,No,Travel_Rarely,1055,Research & Development,2,4,Life Sciences,740,1,Female,2,Manufacturing Director,4,Married,4227,0,No,18,3,1,4,2,3,3,2,2,2
